"Language","s.id","s.length","nCross"
"German",154,5,0
"German",155,5,2
"German",156,5,0
"German",157,5,0
"German",158,5,0
"German",159,5,0
"German",160,5,1
"German",161,5,0
"German",162,5,0
"German",163,5,1
"German",164,5,1
"German",165,5,0
"German",166,5,0
"German",167,5,0
"German",168,5,0
"German",169,5,0
"German",170,5,1
"German",171,5,1
"German",172,5,0
"German",173,5,1
"German",174,5,0
"German",175,5,1
"German",176,5,1
"German",177,5,0
"German",178,5,0
"German",179,5,2
"German",180,5,0
"German",181,5,1
"German",182,5,0
"German",183,5,0
"German",184,5,1
"German",185,5,0
"German",186,5,0
"German",187,5,0
"German",188,5,0
"German",189,5,0
"German",190,5,0
"German",191,5,1
"German",192,5,2
"German",193,5,0
"German",194,5,2
"German",195,5,0
"German",196,5,0
"German",197,5,1
"German",198,5,0
"German",199,5,0
"German",200,5,0
"German",201,6,0
"German",202,6,1
"German",203,6,0
"German",204,6,0
"German",205,6,0
"German",206,6,0
"German",207,6,4
"German",208,6,0
"German",209,6,0
"German",210,6,0
"German",211,6,0
"German",212,6,0
"German",213,6,0
"German",214,6,0
"German",215,6,0
"German",216,6,0
"German",217,6,0
"German",218,6,1
"German",219,6,0
"German",220,6,1
"German",221,6,0
"German",222,6,1
"German",223,6,0
"German",224,6,0
"German",225,6,0
"German",226,6,0
"German",227,6,0
"German",228,6,1
"German",229,6,0
"German",230,6,0
"German",231,6,2
"German",232,6,2
"German",233,6,0
"German",234,6,1
"German",235,6,0
"German",236,6,1
"German",237,6,1
"German",238,6,0
"German",239,6,2
"German",240,6,1
"German",241,6,0
"German",242,6,0
"German",243,6,0
"German",244,6,0
"German",245,6,1
"German",246,6,1
"German",247,6,1
"German",248,6,0
"German",249,6,1
"German",250,6,0
"German",251,7,0
"German",252,7,0
"German",253,7,2
"German",254,7,1
"German",255,7,0
"German",256,7,3
"German",257,7,0
"German",258,7,0
"German",259,7,0
"German",260,7,0
"German",261,7,1
"German",262,7,0
"German",263,7,2
"German",264,7,1
"German",265,7,1
"German",266,7,1
"German",267,7,1
"German",268,7,1
"German",269,7,1
"German",270,7,0
"German",271,7,1
"German",272,7,1
"German",273,7,0
"German",274,7,0
"German",275,7,0
"German",276,7,0
"German",277,7,1
"German",278,7,1
"German",279,7,0
"German",280,7,1
"German",281,7,0
"German",282,7,1
"German",283,7,1
"German",284,7,2
"German",285,7,1
"German",286,7,0
"German",287,7,1
"German",288,7,0
"German",289,7,1
"German",290,7,1
"German",291,7,0
"German",292,7,0
"German",293,7,0
"German",294,7,1
"German",295,7,0
"German",296,7,0
"German",297,7,0
"German",298,7,0
"German",299,7,1
"German",300,7,1
"German",301,8,1
"German",302,8,1
"German",303,8,2
"German",304,8,0
"German",305,8,1
"German",306,8,1
"German",307,8,1
"German",308,8,1
"German",309,8,0
"German",310,8,0
"German",311,8,1
"German",312,8,0
"German",313,8,0
"German",314,8,1
"German",315,8,0
"German",316,8,0
"German",317,8,0
"German",318,8,0
"German",319,8,0
"German",320,8,0
"German",321,8,2
"German",322,8,2
"German",323,8,0
"German",324,8,0
"German",325,8,0
"German",326,8,0
"German",327,8,0
"German",328,8,0
"German",329,8,1
"German",330,8,1
"German",331,8,1
"German",332,8,0
"German",333,8,1
"German",334,8,0
"German",335,8,1
"German",336,8,1
"German",337,8,1
"German",338,8,2
"German",339,8,1
"German",340,8,0
"German",341,8,0
"German",342,8,0
"German",343,8,2
"German",344,8,2
"German",345,8,1
"German",346,8,1
"German",347,8,1
"German",348,8,0
"German",349,8,1
"German",350,8,0
"German",351,9,3
"German",352,9,2
"German",353,9,1
"German",354,9,1
"German",355,9,1
"German",356,9,0
"German",357,9,2
"German",358,9,0
"German",359,9,0
"German",360,9,2
"German",361,9,2
"German",362,9,1
"German",363,9,2
"German",364,9,1
"German",365,9,2
"German",366,9,2
"German",367,9,0
"German",368,9,0
"German",369,9,1
"German",370,9,2
"German",371,9,0
"German",372,9,0
"German",373,9,1
"German",374,9,1
"German",375,9,0
"German",376,9,0
"German",377,9,0
"German",378,9,1
"German",379,9,0
"German",380,9,2
"German",381,9,2
"German",382,9,0
"German",383,9,1
"German",384,9,0
"German",385,9,1
"German",386,9,1
"German",387,9,0
"German",388,9,3
"German",389,9,1
"German",390,9,0
"German",391,9,0
"German",392,9,2
"German",393,9,2
"German",394,9,0
"German",395,9,1
"German",396,9,0
"German",397,9,2
"German",398,9,0
"German",399,9,0
"German",400,9,0
"German",401,10,0
"German",402,10,1
"German",403,10,0
"German",404,10,0
"German",405,10,2
"German",406,10,1
"German",407,10,1
"German",408,10,1
"German",409,10,0
"German",410,10,0
"German",411,10,2
"German",412,10,1
"German",413,10,0
"German",414,10,2
"German",415,10,0
"German",416,10,0
"German",417,10,1
"German",418,10,1
"German",419,10,2
"German",420,10,1
"German",421,10,1
"German",422,10,1
"German",423,10,0
"German",424,10,0
"German",425,10,4
"German",426,10,1
"German",427,10,0
"German",428,10,0
"German",429,10,2
"German",430,10,1
"German",431,10,0
"German",432,10,0
"German",433,10,0
"German",434,10,0
"German",435,10,0
"German",436,10,2
"German",437,10,1
"German",438,10,2
"German",439,10,1
"German",440,10,2
"German",441,10,1
"German",442,10,2
"German",443,10,0
"German",444,10,0
"German",445,10,1
"German",446,10,1
"German",447,10,2
"German",448,10,0
"German",449,10,0
"German",450,10,2
"German",451,11,1
"German",452,11,0
"German",453,11,1
"German",454,11,3
"German",455,11,0
"German",456,11,1
"German",457,11,0
"German",458,11,2
"German",459,11,0
"German",460,11,0
"German",461,11,1
"German",462,11,1
"German",463,11,1
"German",464,11,1
"German",465,11,1
"German",466,11,1
"German",467,11,0
"German",468,11,2
"German",469,11,0
"German",470,11,1
"German",471,11,2
"German",472,11,1
"German",473,11,4
"German",474,11,2
"German",475,11,0
"German",476,11,2
"German",477,11,1
"German",478,11,1
"German",479,11,0
"German",480,11,1
"German",481,11,0
"German",482,11,1
"German",483,11,1
"German",484,11,2
"German",485,11,0
"German",486,11,0
"German",487,11,1
"German",488,11,2
"German",489,11,0
"German",490,11,3
"German",491,11,0
"German",492,11,2
"German",493,11,0
"German",494,11,1
"German",495,11,0
"German",496,11,3
"German",497,11,5
"German",498,11,3
"German",499,11,2
"German",500,11,0
"German",501,12,0
"German",502,12,0
"German",503,12,0
"German",504,12,1
"German",505,12,1
"German",506,12,1
"German",507,12,0
"German",508,12,2
"German",509,12,2
"German",510,12,2
"German",511,12,3
"German",512,12,3
"German",513,12,3
"German",514,12,1
"German",515,12,0
"German",516,12,3
"German",517,12,1
"German",518,12,1
"German",519,12,1
"German",520,12,3
"German",521,12,0
"German",522,12,2
"German",523,12,1
"German",524,12,1
"German",525,12,2
"German",526,12,2
"German",527,12,0
"German",528,12,2
"German",529,12,0
"German",530,12,1
"German",531,12,0
"German",532,12,2
"German",533,12,3
"German",534,12,1
"German",535,12,2
"German",536,12,2
"German",537,12,1
"German",538,12,0
"German",539,12,1
"German",540,12,1
"German",541,12,2
"German",542,12,2
"German",543,12,1
"German",544,12,1
"German",545,12,0
"German",546,12,1
"German",547,12,2
"German",548,12,2
"German",549,12,0
"German",550,12,1
"German",551,13,0
"German",552,13,1
"German",553,13,1
"German",554,13,1
"German",555,13,1
"German",556,13,0
"German",557,13,2
"German",558,13,3
"German",559,13,6
"German",560,13,2
"German",561,13,1
"German",562,13,0
"German",563,13,3
"German",564,13,4
"German",565,13,2
"German",566,13,1
"German",567,13,1
"German",568,13,0
"German",569,13,3
"German",570,13,0
"German",571,13,4
"German",572,13,0
"German",573,13,3
"German",574,13,2
"German",575,13,0
"German",576,13,1
"German",577,13,3
"German",578,13,3
"German",579,13,2
"German",580,13,1
"German",581,13,1
"German",582,13,3
"German",583,13,1
"German",584,13,3
"German",585,13,1
"German",586,13,2
"German",587,13,4
"German",588,13,2
"German",589,13,3
"German",590,13,1
"German",591,13,1
"German",592,13,1
"German",593,13,2
"German",594,13,2
"German",595,13,0
"German",596,13,3
"German",597,13,2
"German",598,13,1
"German",599,13,3
"German",600,13,3
"German",601,14,1
"German",602,14,4
"German",603,14,0
"German",604,14,1
"German",605,14,1
"German",606,14,2
"German",607,14,2
"German",608,14,2
"German",609,14,1
"German",610,14,3
"German",611,14,2
"German",612,14,2
"German",613,14,0
"German",614,14,2
"German",615,14,0
"German",616,14,1
"German",617,14,4
"German",618,14,3
"German",619,14,3
"German",620,14,3
"German",621,14,3
"German",622,14,0
"German",623,14,4
"German",624,14,4
"German",625,14,2
"German",626,14,2
"German",627,14,6
"German",628,14,3
"German",629,14,4
"German",630,14,2
"German",631,14,0
"German",632,14,2
"German",633,14,1
"German",634,14,2
"German",635,14,2
"German",636,14,1
"German",637,14,4
"German",638,14,5
"German",639,14,1
"German",640,14,5
"German",641,14,1
"German",642,14,1
"German",643,14,0
"German",644,14,1
"German",645,14,2
"German",646,14,1
"German",647,14,2
"German",648,14,4
"German",649,14,1
"German",650,14,1
"German",651,15,8
"German",652,15,3
"German",653,15,2
"German",654,15,2
"German",655,15,5
"German",656,15,0
"German",657,15,0
"German",658,15,0
"German",659,15,1
"German",660,15,2
"German",661,15,5
"German",662,15,5
"German",663,15,1
"German",664,15,4
"German",665,15,1
"German",666,15,2
"German",667,15,6
"German",668,15,4
"German",669,15,4
"German",670,15,4
"German",671,15,1
"German",672,15,6
"German",673,15,1
"German",674,15,1
"German",675,15,3
"German",676,15,0
"German",677,15,6
"German",678,15,2
"German",679,15,0
"German",680,15,5
"German",681,15,4
"German",682,15,3
"German",683,15,1
"German",684,15,4
"German",685,15,3
"German",686,15,3
"German",687,15,1
"German",688,15,1
"German",689,15,4
"German",690,15,2
"German",691,15,2
"German",692,15,2
"German",693,15,2
"German",694,15,2
"German",695,15,0
"German",696,15,3
"German",697,15,4
"German",698,15,2
"German",699,15,2
"German",700,15,6
"German",701,16,1
"German",702,16,4
"German",703,16,4
"German",704,16,5
"German",705,16,2
"German",706,16,2
"German",707,16,3
"German",708,16,2
"German",709,16,3
"German",710,16,2
"German",711,16,1
"German",712,16,1
"German",713,16,4
"German",714,16,1
"German",715,16,2
"German",716,16,4
"German",717,16,3
"German",718,16,3
"German",719,16,2
"German",720,16,3
"German",721,16,5
"German",722,16,4
"German",723,16,4
"German",724,16,2
"German",725,16,2
"German",726,16,4
"German",727,16,3
"German",728,16,3
"German",729,16,1
"German",730,16,3
"German",731,16,3
"German",732,16,5
"German",733,16,5
"German",734,16,5
"German",735,16,4
"German",736,16,7
"German",737,16,2
"German",738,16,1
"German",739,16,2
"German",740,16,2
"German",741,16,3
"German",742,16,3
"German",743,16,2
"German",744,16,4
"German",745,16,5
"German",746,16,5
"German",747,16,7
"German",748,16,3
"German",749,16,1
"German",750,16,5
"German",751,17,3
"German",752,17,5
"German",753,17,7
"German",754,17,4
"German",755,17,3
"German",756,17,6
"German",757,17,4
"German",758,17,2
"German",759,17,6
"German",760,17,3
"German",761,17,3
"German",762,17,1
"German",763,17,10
"German",764,17,6
"German",765,17,2
"German",766,17,3
"German",767,17,3
"German",768,17,4
"German",769,17,5
"German",770,17,9
"German",771,17,0
"German",772,17,4
"German",773,17,5
"German",774,17,10
"German",775,17,1
"German",776,17,3
"German",777,17,3
"German",778,17,4
"German",779,17,5
"German",780,17,5
"German",781,17,3
"German",782,17,2
"German",783,17,1
"German",784,17,4
"German",785,17,5
"German",786,17,6
"German",787,17,0
"German",788,17,4
"German",789,17,4
"German",790,17,3
"German",791,17,3
"German",792,17,2
"German",793,17,4
"German",794,17,4
"German",795,17,4
"German",796,17,2
"German",797,17,4
"German",798,17,6
"German",799,17,4
"German",800,17,2
"German",801,18,3
"German",802,18,4
"German",803,18,6
"German",804,18,6
"German",805,18,2
"German",806,18,1
"German",807,18,2
"German",808,18,4
"German",809,18,3
"German",810,18,8
"German",811,18,2
"German",812,18,3
"German",813,18,6
"German",814,18,4
"German",815,18,5
"German",816,18,4
"German",817,18,3
"German",818,18,3
"German",819,18,6
"German",820,18,3
"German",821,18,6
"German",822,18,5
"German",823,18,4
"German",824,18,2
"German",825,18,5
"German",826,18,4
"German",827,18,7
"German",828,18,1
"German",829,18,8
"German",830,18,2
"German",831,18,4
"German",832,18,5
"German",833,18,3
"German",834,18,2
"German",835,18,5
"German",836,18,6
"German",837,18,4
"German",838,18,1
"German",839,18,3
"German",840,18,2
"German",841,18,6
"German",842,18,7
"German",843,18,2
"German",844,18,6
"German",845,18,8
"German",846,18,5
"German",847,18,3
"German",848,18,6
"German",849,18,8
"German",850,18,3
"German",851,19,6
"German",852,19,5
"German",853,19,7
"German",854,19,6
"German",855,19,5
"German",856,19,5
"German",857,19,5
"German",858,19,8
"German",859,19,3
"German",860,19,6
"German",861,19,7
"German",862,19,4
"German",863,19,6
"German",864,19,8
"German",865,19,8
"German",866,19,4
"German",867,19,4
"German",868,19,6
"German",869,19,6
"German",870,19,4
"German",871,19,8
"German",872,19,5
"German",873,19,3
"German",874,19,4
"German",875,19,5
"German",876,19,8
"German",877,19,8
"German",878,19,6
"German",879,19,6
"German",880,19,5
"German",881,19,4
"German",882,19,8
"German",883,19,8
"German",884,19,8
"German",885,19,4
"German",886,19,6
"German",887,19,8
"German",888,19,5
"German",889,19,7
"German",890,19,8
"German",891,19,11
"German",892,19,12
"German",893,19,8
"German",894,19,8
"German",895,19,4
"German",896,19,8
"German",897,19,7
"German",898,19,2
"German",899,19,4
"German",900,19,4
"German",901,20,8
"German",902,20,3
"German",903,20,6
"German",904,20,9
"German",905,20,9
"German",906,20,7
"German",907,20,3
"German",908,20,4
"German",909,20,11
"German",910,20,8
"German",911,20,7
"German",912,20,11
"German",913,20,6
"German",914,20,5
"German",915,20,5
"German",916,20,4
"German",917,20,5
"German",918,20,10
"German",919,20,8
"German",920,20,5
"German",921,20,8
"German",922,20,11
"German",923,20,12
"German",924,20,7
"German",925,20,5
"German",926,20,11
"German",927,20,8
"German",928,20,7
"German",929,20,2
"German",930,20,7
"German",931,20,8
"German",932,20,7
"German",933,20,3
"German",934,20,9
"German",935,20,9
"German",936,20,9
"German",937,20,4
"German",938,20,5
"German",939,20,3
"German",940,20,5
"German",941,20,5
"German",942,20,6
"German",943,20,6
"German",944,20,4
"German",945,20,7
"German",946,20,8
"German",947,20,12
"German",948,20,7
"German",949,20,5
"German",950,20,8
"English",1,2,1
"English",2,2,0
"English",3,2,1
"English",4,2,1
"English",5,2,0
"English",6,2,1
"English",7,2,0
"English",8,2,0
"English",9,2,0
"English",10,2,1
"English",11,2,1
"English",12,2,0
"English",13,2,0
"English",14,2,0
"English",15,2,1
"English",16,2,0
"English",17,2,0
"English",18,2,2
"English",19,2,0
"English",20,2,1
"English",21,2,1
"English",22,2,1
"English",23,2,0
"English",24,2,1
"English",25,2,2
"English",26,2,1
"English",27,2,0
"English",28,2,1
"English",29,2,0
"English",30,2,1
"English",31,2,0
"English",32,2,1
"English",33,2,0
"English",34,2,1
"English",35,2,1
"English",36,2,0
"English",37,2,2
"English",38,2,0
"English",39,2,0
"English",40,2,0
"English",41,2,0
"English",42,2,1
"English",43,2,0
"English",44,2,0
"English",45,2,0
"English",46,2,1
"English",47,2,0
"English",48,2,0
"English",49,2,0
"English",50,2,1
"English",51,3,1
"English",52,3,1
"English",53,3,0
"English",54,3,0
"English",55,3,2
"English",56,3,0
"English",57,3,1
"English",58,3,1
"English",59,3,0
"English",60,3,0
"English",61,3,0
"English",62,3,1
"English",63,3,1
"English",64,3,1
"English",65,3,0
"English",66,3,0
"English",67,3,1
"English",68,3,0
"English",69,3,0
"English",70,3,0
"English",71,3,1
"English",72,3,1
"English",73,3,0
"English",74,3,0
"English",75,3,0
"English",76,3,0
"English",77,3,1
"English",78,3,1
"English",79,3,1
"English",80,3,0
"English",81,3,0
"English",82,3,0
"English",83,3,0
"English",84,3,0
"English",85,3,1
"English",86,3,0
"English",87,3,0
"English",88,3,0
"English",89,3,2
"English",90,3,0
"English",91,3,1
"English",92,3,2
"English",93,3,2
"English",94,3,1
"English",95,3,0
"English",96,3,0
"English",97,3,2
"English",98,3,1
"English",99,3,1
"English",100,3,0
"English",101,4,2
"English",102,4,0
"English",103,4,1
"English",104,4,2
"English",105,4,0
"English",106,4,1
"English",107,4,1
"English",108,4,2
"English",109,4,0
"English",110,4,1
"English",111,4,3
"English",112,4,1
"English",113,4,1
"English",114,4,2
"English",115,4,2
"English",116,4,0
"English",117,4,0
"English",118,4,0
"English",119,4,1
"English",120,4,2
"English",121,4,2
"English",122,4,0
"English",123,4,1
"English",124,4,1
"English",125,4,1
"English",126,4,0
"English",127,4,1
"English",128,4,0
"English",129,4,1
"English",130,4,3
"English",131,4,2
"English",132,4,1
"English",133,4,0
"English",134,4,1
"English",135,4,2
"English",136,4,1
"English",137,4,0
"English",138,4,1
"English",139,4,0
"English",140,4,0
"English",141,4,1
"English",142,4,0
"English",143,4,0
"English",144,4,1
"English",145,4,2
"English",146,4,0
"English",147,4,1
"English",148,4,0
"English",149,4,0
"English",150,4,0
"English",151,5,1
"English",152,5,0
"English",153,5,1
"English",154,5,1
"English",155,5,0
"English",156,5,1
"English",157,5,0
"English",158,5,0
"English",159,5,0
"English",160,5,2
"English",161,5,0
"English",162,5,2
"English",163,5,1
"English",164,5,1
"English",165,5,1
"English",166,5,0
"English",167,5,0
"English",168,5,1
"English",169,5,0
"English",170,5,0
"English",171,5,1
"English",172,5,0
"English",173,5,1
"English",174,5,0
"English",175,5,2
"English",176,5,0
"English",177,5,0
"English",178,5,0
"English",179,5,1
"English",180,5,0
"English",181,5,0
"English",182,5,3
"English",183,5,0
"English",184,5,0
"English",185,5,0
"English",186,5,0
"English",187,5,1
"English",188,5,1
"English",189,5,1
"English",190,5,0
"English",191,5,1
"English",192,5,0
"English",193,5,0
"English",194,5,0
"English",195,5,0
"English",196,5,1
"English",197,5,0
"English",198,5,1
"English",199,5,0
"English",200,5,1
"English",201,6,0
"English",202,6,0
"English",203,6,1
"English",204,6,1
"English",205,6,1
"English",206,6,0
"English",207,6,2
"English",208,6,0
"English",209,6,2
"English",210,6,1
"English",211,6,0
"English",212,6,0
"English",213,6,0
"English",214,6,0
"English",215,6,1
"English",216,6,2
"English",217,6,2
"English",218,6,2
"English",219,6,0
"English",220,6,1
"English",221,6,1
"English",222,6,0
"English",223,6,0
"English",224,6,1
"English",225,6,0
"English",226,6,1
"English",227,6,0
"English",228,6,2
"English",229,6,0
"English",230,6,1
"English",231,6,2
"English",232,6,0
"English",233,6,0
"English",234,6,1
"English",235,6,0
"English",236,6,1
"English",237,6,0
"English",238,6,1
"English",239,6,2
"English",240,6,0
"English",241,6,0
"English",242,6,2
"English",243,6,0
"English",244,6,1
"English",245,6,1
"English",246,6,2
"English",247,6,0
"English",248,6,0
"English",249,6,0
"English",250,6,2
"English",251,7,2
"English",252,7,0
"English",253,7,1
"English",254,7,0
"English",255,7,1
"English",256,7,0
"English",257,7,1
"English",258,7,0
"English",259,7,0
"English",260,7,0
"English",261,7,1
"English",262,7,0
"English",263,7,0
"English",264,7,0
"English",265,7,1
"English",266,7,1
"English",267,7,1
"English",268,7,0
"English",269,7,0
"English",270,7,0
"English",271,7,1
"English",272,7,0
"English",273,7,0
"English",274,7,0
"English",275,7,1
"English",276,7,1
"English",277,7,0
"English",278,7,1
"English",279,7,0
"English",280,7,2
"English",281,7,1
"English",282,7,0
"English",283,7,1
"English",284,7,1
"English",285,7,0
"English",286,7,3
"English",287,7,2
"English",288,7,0
"English",289,7,0
"English",290,7,1
"English",291,7,0
"English",292,7,0
"English",293,7,2
"English",294,7,0
"English",295,7,1
"English",296,7,0
"English",297,7,0
"English",298,7,2
"English",299,7,1
"English",300,7,0
"English",301,8,0
"English",302,8,0
"English",303,8,1
"English",304,8,2
"English",305,8,0
"English",306,8,0
"English",307,8,0
"English",308,8,0
"English",309,8,1
"English",310,8,0
"English",311,8,3
"English",312,8,1
"English",313,8,1
"English",314,8,0
"English",315,8,0
"English",316,8,1
"English",317,8,1
"English",318,8,0
"English",319,8,1
"English",320,8,1
"English",321,8,0
"English",322,8,0
"English",323,8,0
"English",324,8,1
"English",325,8,1
"English",326,8,1
"English",327,8,0
"English",328,8,1
"English",329,8,1
"English",330,8,0
"English",331,8,0
"English",332,8,1
"English",333,8,1
"English",334,8,0
"English",335,8,0
"English",336,8,0
"English",337,8,0
"English",338,8,1
"English",339,8,1
"English",340,8,1
"English",341,8,1
"English",342,8,0
"English",343,8,1
"English",344,8,1
"English",345,8,0
"English",346,8,1
"English",347,8,0
"English",348,8,1
"English",349,8,0
"English",350,8,1
"English",351,9,2
"English",352,9,2
"English",353,9,0
"English",354,9,1
"English",355,9,0
"English",356,9,2
"English",357,9,4
"English",358,9,0
"English",359,9,2
"English",360,9,1
"English",361,9,1
"English",362,9,2
"English",363,9,0
"English",364,9,1
"English",365,9,1
"English",366,9,1
"English",367,9,0
"English",368,9,1
"English",369,9,0
"English",370,9,0
"English",371,9,1
"English",372,9,2
"English",373,9,0
"English",374,9,2
"English",375,9,2
"English",376,9,1
"English",377,9,1
"English",378,9,0
"English",379,9,1
"English",380,9,3
"English",381,9,0
"English",382,9,2
"English",383,9,0
"English",384,9,1
"English",385,9,0
"English",386,9,0
"English",387,9,1
"English",388,9,1
"English",389,9,0
"English",390,9,3
"English",391,9,1
"English",392,9,0
"English",393,9,2
"English",394,9,1
"English",395,9,0
"English",396,9,1
"English",397,9,1
"English",398,9,0
"English",399,9,1
"English",400,9,1
"English",401,10,1
"English",402,10,0
"English",403,10,0
"English",404,10,3
"English",405,10,0
"English",406,10,1
"English",407,10,0
"English",408,10,2
"English",409,10,0
"English",410,10,1
"English",411,10,0
"English",412,10,1
"English",413,10,3
"English",414,10,2
"English",415,10,2
"English",416,10,0
"English",417,10,1
"English",418,10,2
"English",419,10,0
"English",420,10,1
"English",421,10,0
"English",422,10,2
"English",423,10,0
"English",424,10,2
"English",425,10,0
"English",426,10,1
"English",427,10,1
"English",428,10,1
"English",429,10,0
"English",430,10,1
"English",431,10,1
"English",432,10,3
"English",433,10,0
"English",434,10,1
"English",435,10,0
"English",436,10,3
"English",437,10,1
"English",438,10,0
"English",439,10,3
"English",440,10,2
"English",441,10,2
"English",442,10,1
"English",443,10,0
"English",444,10,2
"English",445,10,3
"English",446,10,1
"English",447,10,0
"English",448,10,1
"English",449,10,2
"English",450,10,1
"English",451,11,3
"English",452,11,3
"English",453,11,1
"English",454,11,1
"English",455,11,1
"English",456,11,1
"English",457,11,1
"English",458,11,2
"English",459,11,1
"English",460,11,0
"English",461,11,2
"English",462,11,0
"English",463,11,2
"English",464,11,1
"English",465,11,1
"English",466,11,0
"English",467,11,2
"English",468,11,1
"English",469,11,1
"English",470,11,1
"English",471,11,0
"English",472,11,2
"English",473,11,1
"English",474,11,1
"English",475,11,0
"English",476,11,2
"English",477,11,0
"English",478,11,1
"English",479,11,0
"English",480,11,3
"English",481,11,3
"English",482,11,1
"English",483,11,0
"English",484,11,0
"English",485,11,3
"English",486,11,4
"English",487,11,1
"English",488,11,1
"English",489,11,2
"English",490,11,1
"English",491,11,2
"English",492,11,1
"English",493,11,3
"English",494,11,1
"English",495,11,0
"English",496,11,0
"English",497,11,1
"English",498,11,1
"English",499,11,3
"English",500,11,3
"English",501,12,1
"English",502,12,1
"English",503,12,1
"English",504,12,1
"English",505,12,0
"English",506,12,1
"English",507,12,3
"English",508,12,2
"English",509,12,1
"English",510,12,1
"English",511,12,2
"English",512,12,0
"English",513,12,2
"English",514,12,1
"English",515,12,2
"English",516,12,0
"English",517,12,0
"English",518,12,1
"English",519,12,0
"English",520,12,0
"English",521,12,1
"English",522,12,2
"English",523,12,0
"English",524,12,3
"English",525,12,0
"English",526,12,2
"English",527,12,0
"English",528,12,2
"English",529,12,1
"English",530,12,1
"English",531,12,1
"English",532,12,1
"English",533,12,1
"English",534,12,0
"English",535,12,1
"English",536,12,2
"English",537,12,2
"English",538,12,3
"English",539,12,0
"English",540,12,0
"English",541,12,1
"English",542,12,0
"English",543,12,1
"English",544,12,3
"English",545,12,3
"English",546,12,3
"English",547,12,2
"English",548,12,0
"English",549,12,1
"English",550,12,2
"English",551,13,1
"English",552,13,1
"English",553,13,1
"English",554,13,1
"English",555,13,1
"English",556,13,7
"English",557,13,1
"English",558,13,1
"English",559,13,2
"English",560,13,2
"English",561,13,2
"English",562,13,3
"English",563,13,2
"English",564,13,0
"English",565,13,1
"English",566,13,2
"English",567,13,0
"English",568,13,2
"English",569,13,4
"English",570,13,3
"English",571,13,0
"English",572,13,2
"English",573,13,3
"English",574,13,2
"English",575,13,0
"English",576,13,3
"English",577,13,1
"English",578,13,1
"English",579,13,0
"English",580,13,0
"English",581,13,0
"English",582,13,5
"English",583,13,1
"English",584,13,1
"English",585,13,1
"English",586,13,0
"English",587,13,2
"English",588,13,4
"English",589,13,0
"English",590,13,1
"English",591,13,1
"English",592,13,0
"English",593,13,4
"English",594,13,1
"English",595,13,3
"English",596,13,1
"English",597,13,0
"English",598,13,1
"English",599,13,0
"English",600,13,0
"English",601,14,3
